Dimensions,additional_images,attrib__bulb_type,attrib__color,attrib__designer,attrib__finish,attrib__material,attrib__number_bulbs,attrib__shade,attrib__switch_type,attrib__wattage,attrib__cord_length,cost_price,height,length,manufacturer,manufacturer_sku,min_price,preferred_shipment_type,product__collection,product__country_of_origin,product__description,lifestyle_images,product__sites,product__title,prop_65,shipment_boxes,width
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63553.jpeg,,,,,,,,,,, 498.00,"29,",,Bradburn Home,RJ-63553, 498.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63553_100x.jpeg,www.bradburnhome.com,RJ-63553,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63380.jpeg,,,,,,,,,,, 478.00,"29,",,Bradburn Home,RJ-63380, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63380_100x.jpeg,www.bradburnhome.com,RJ-63380,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63379.jpeg,,,,,,,,,,, 358.00,"31,",,Bradburn Home,RJ-63379, 358.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63379_100x.jpeg,www.bradburnhome.com,RJ-63379,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63378.jpeg,,,,,,,,,,, 378.00,"31,",,Bradburn Home,RJ-63378, 378.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63378_100x.jpeg,www.bradburnhome.com,RJ-63378,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63377-R.jpeg,,,,,,,,,,, 378.00,"28,",,Bradburn Home,RJ-63377-R, 378.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63377-R_100x.jpeg,www.bradburnhome.com,RJ-63377-R,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63377.jpeg,,,,,,,,,,, 438.00,"29,",,Bradburn Home,RJ-63377, 438.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63377_100x.jpeg,www.bradburnhome.com,RJ-63377,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63376.jpeg,,,,,,,Burlap,,,, 398.00,"28,",,Bradburn Home,RJ-63376, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63376_100x.jpeg,www.bradburnhome.com,Delilah,True,{},
"31""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_001.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_002.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_004.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_008.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_005.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_003.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_007.jpg",,,,,,1,Rhapsody Cotton,Switch located on socket,,, 618.00,"31,",,Bradburn Home,RJ-63373, 618.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ_63373_001_100x.jpg,www.bradburnhome.com,Isabella,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63372.jpeg,,,,,,,,,,, 378.00,"29,",,Bradburn Home,RJ-63372, 378.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63372_100x.jpeg,www.bradburnhome.com,Miranda,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63370-C.jpeg,,,,,,,,,,, 398.00,"28,",,Bradburn Home,RJ-63370-C, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63370-C_100x.jpeg,www.bradburnhome.com,RJ-63370-C,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63368.jpeg,,,,,,,,,,, 398.00,"31,",,Bradburn Home,RJ-63368, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63368_100x.jpeg,www.bradburnhome.com,RJ-63368,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63367.jpeg,,,,,,,,,,, 398.00,"30,",,Bradburn Home,RJ-63367, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63367_100x.jpeg,www.bradburnhome.com,RJ-63367,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63366-R.jpeg,,,,,,,,,,, 478.00,"30,",,Bradburn Home,RJ-63366-R, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63366-R_100x.jpeg,www.bradburnhome.com,RJ-63366-R,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63366.jpeg,,,,,,,,,,, 508.00,"29,",,Bradburn Home,RJ-63366, 508.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63366_100x.jpeg,www.bradburnhome.com,Makato,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63228-R.jpeg,,,,,,,,,,, 358.00,"30,",,Bradburn Home,RJ-63228-R, 358.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63228-R_100x.jpeg,www.bradburnhome.com,RJ-63228-R,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63228-C.jpeg,,,,,,,,,,, 478.00,"30,",,Bradburn Home,RJ-63228-C, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63228-C_100x.jpeg,www.bradburnhome.com,Sanibel Island,True,{},
